fila_excel,columna,valor_original,valor_final,error,accion
3,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
4,company_id,8,NULL,ID no existe en tabla companies (lookup),Fila omitida
5,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
6,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
7,company_id,12,NULL,ID no existe en tabla companies (lookup),Fila omitida
8,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
9,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
10,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
11,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
12,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
13,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
14,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
15,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
16,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
17,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
18,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
19,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
20,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
21,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
24,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
25,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
26,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
27,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
28,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
29,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
30,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
31,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
32,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
33,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
34,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
35,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
36,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
37,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
38,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
39,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
40,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
41,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
42,company_id,8,NULL,ID no existe en tabla companies (lookup),Fila omitida
43,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
44,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
45,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
46,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
47,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
48,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
49,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
50,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
51,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
52,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
53,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
54,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
55,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
56,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
57,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
58,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
59,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
60,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
61,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
62,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
63,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
64,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
65,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
66,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
67,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
68,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
69,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
70,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
71,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
72,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
73,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
74,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
75,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
76,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
77,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
78,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
79,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
80,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
81,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
82,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
83,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
84,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
85,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
86,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
87,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
88,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
89,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
90,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
91,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
92,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
93,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
94,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
95,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
