fila_excel,columna,descripcion
3,Id_cliente,ID 1 no existe en clients. Convertido a NULL.
3,linea_id,ID 3 no existe en lineas. Convertido a NULL.
4,Id_cliente,ID 2 no existe en clients. Convertido a NULL.
4,linea_id,ID 9 no existe en lineas. Convertido a NULL.
5,Id_cliente,ID 3 no existe en clients. Convertido a NULL.
5,linea_id,ID 3 no existe en lineas. Convertido a NULL.
6,Id_cliente,ID 4 no existe en clients. Convertido a NULL.
6,linea_id,ID 3 no existe en lineas. Convertido a NULL.
7,Id_cliente,ID 5 no existe en clients. Convertido a NULL.
8,Id_cliente,ID 6 no existe en clients. Convertido a NULL.
8,linea_id,ID 3 no existe en lineas. Convertido a NULL.
9,Id_cliente,ID 7 no existe en clients. Convertido a NULL.
9,linea_id,ID 3 no existe en lineas. Convertido a NULL.
10,Id_cliente,ID 8 no existe en clients. Convertido a NULL.
10,linea_id,ID 3 no existe en lineas. Convertido a NULL.
11,Id_cliente,ID 9 no existe en clients. Convertido a NULL.
11,linea_id,ID 3 no existe en lineas. Convertido a NULL.
12,Id_cliente,ID 10 no existe en clients. Convertido a NULL.
12,linea_id,ID 3 no existe en lineas. Convertido a NULL.
13,Id_cliente,ID 11 no existe en clients. Convertido a NULL.
13,linea_id,ID 3 no existe en lineas. Convertido a NULL.
14,Id_cliente,ID 12 no existe en clients. Convertido a NULL.
14,linea_id,ID 3 no existe en lineas. Convertido a NULL.
15,Id_cliente,ID 13 no existe en clients. Convertido a NULL.
15,linea_id,ID 3 no existe en lineas. Convertido a NULL.
16,Id_cliente,ID 14 no existe en clients. Convertido a NULL.
16,linea_id,ID 3 no existe en lineas. Convertido a NULL.
17,Id_cliente,ID 15 no existe en clients. Convertido a NULL.
17,linea_id,ID 3 no existe en lineas. Convertido a NULL.
18,Id_cliente,ID 16 no existe en clients. Convertido a NULL.
18,linea_id,ID 3 no existe en lineas. Convertido a NULL.
19,Id_cliente,ID 17 no existe en clients. Convertido a NULL.
19,linea_id,ID 3 no existe en lineas. Convertido a NULL.
20,Id_cliente,ID 18 no existe en clients. Convertido a NULL.
20,linea_id,ID 3 no existe en lineas. Convertido a NULL.
21,Id_cliente,ID 19 no existe en clients. Convertido a NULL.
21,linea_id,ID 3 no existe en lineas. Convertido a NULL.
22,Id_cliente,ID 20 no existe en clients. Convertido a NULL.
23,Id_cliente,ID 21 no existe en clients. Convertido a NULL.
24,Id_cliente,ID 22 no existe en clients. Convertido a NULL.
24,linea_id,ID 3 no existe en lineas. Convertido a NULL.
25,Id_cliente,ID 23 no existe en clients. Convertido a NULL.
25,linea_id,ID 3 no existe en lineas. Convertido a NULL.
26,Id_cliente,ID 24 no existe en clients. Convertido a NULL.
26,linea_id,ID 3 no existe en lineas. Convertido a NULL.
27,Id_cliente,ID 25 no existe en clients. Convertido a NULL.
27,linea_id,ID 3 no existe en lineas. Convertido a NULL.
28,Id_cliente,ID 26 no existe en clients. Convertido a NULL.
28,linea_id,ID 3 no existe en lineas. Convertido a NULL.
29,Id_cliente,ID 27 no existe en clients. Convertido a NULL.
29,linea_id,ID 3 no existe en lineas. Convertido a NULL.
30,Id_cliente,ID 28 no existe en clients. Convertido a NULL.
30,linea_id,ID 3 no existe en lineas. Convertido a NULL.
31,Id_cliente,ID 29 no existe en clients. Convertido a NULL.
31,linea_id,ID 3 no existe en lineas. Convertido a NULL.
32,Id_cliente,ID 30 no existe en clients. Convertido a NULL.
32,linea_id,ID 3 no existe en lineas. Convertido a NULL.
33,Id_cliente,ID 31 no existe en clients. Convertido a NULL.
33,linea_id,ID 3 no existe en lineas. Convertido a NULL.
34,Id_cliente,ID 32 no existe en clients. Convertido a NULL.
34,linea_id,ID 3 no existe en lineas. Convertido a NULL.
35,Id_cliente,ID 33 no existe en clients. Convertido a NULL.
35,linea_id,ID 3 no existe en lineas. Convertido a NULL.
36,Id_cliente,ID 34 no existe en clients. Convertido a NULL.
36,linea_id,ID 3 no existe en lineas. Convertido a NULL.
37,Id_cliente,ID 35 no existe en clients. Convertido a NULL.
37,linea_id,ID 3 no existe en lineas. Convertido a NULL.
38,Id_cliente,ID 36 no existe en clients. Convertido a NULL.
38,linea_id,ID 3 no existe en lineas. Convertido a NULL.
39,Id_cliente,ID 37 no existe en clients. Convertido a NULL.
39,linea_id,ID 3 no existe en lineas. Convertido a NULL.
40,Id_cliente,ID 38 no existe en clients. Convertido a NULL.
40,linea_id,ID 3 no existe en lineas. Convertido a NULL.
41,Id_cliente,ID 39 no existe en clients. Convertido a NULL.
41,linea_id,ID 3 no existe en lineas. Convertido a NULL.
42,Id_cliente,ID 40 no existe en clients. Convertido a NULL.
42,linea_id,ID 9 no existe en lineas. Convertido a NULL.
43,Id_cliente,ID 41 no existe en clients. Convertido a NULL.
43,linea_id,ID 3 no existe en lineas. Convertido a NULL.
44,Id_cliente,ID 42 no existe en clients. Convertido a NULL.
44,linea_id,ID 3 no existe en lineas. Convertido a NULL.
45,Id_cliente,ID 43 no existe en clients. Convertido a NULL.
45,linea_id,ID 3 no existe en lineas. Convertido a NULL.
46,Id_cliente,ID 44 no existe en clients. Convertido a NULL.
46,linea_id,ID 3 no existe en lineas. Convertido a NULL.
47,Id_cliente,ID 45 no existe en clients. Convertido a NULL.
47,linea_id,ID 3 no existe en lineas. Convertido a NULL.
